
=== Training Session Started for FP16_Baseline at 2026-06-08 16:52:14 ===
[FP16_Baseline] [Epoch 058/100] Loss: 0.15026 | Time/Epoch: 10.3s | ETA: 7 mins
[FP16_Baseline] [Epoch 059/100] Loss: 0.14565 | Time/Epoch: 10.3s | ETA: 7 mins
[FP16_Baseline] [Epoch 060/100] Loss: 0.13710 | Time/Epoch: 10.3s | ETA: 6 mins
[FP16_Baseline] [Epoch 061/100] Loss: 0.13491 | Time/Epoch: 10.3s | ETA: 6 mins
[FP16_Baseline] [Epoch 062/100] Loss: 0.13716 | Time/Epoch: 10.3s | ETA: 6 mins
[FP16_Baseline] [Epoch 063/100] Loss: 0.13649 | Time/Epoch: 10.3s | ETA: 6 mins
[FP16_Baseline] [Epoch 064/100] Loss: 0.13383 | Time/Epoch: 10.3s | ETA: 6 mins
[FP16_Baseline] [Epoch 065/100] Loss: 0.13012 | Time/Epoch: 10.4s | ETA: 6 mins
[FP16_Baseline] [Epoch 066/100] Loss: 0.13226 | Time/Epoch: 10.3s | ETA: 5 mins
[FP16_Baseline] [Epoch 067/100] Loss: 0.12783 | Time/Epoch: 10.3s | ETA: 5 mins
[FP16_Baseline] [Epoch 068/100] Loss: 0.12873 | Time/Epoch: 10.3s | ETA: 5 mins
[FP16_Baseline] [Epoch 069/100] Loss: 0.12890 | Time/Epoch: 10.4s | ETA: 5 mins
[FP16_Baseline] [Epoch 070/100] Loss: 0.12989 | Time/Epoch: 11.1s | ETA: 5 mins
[FP16_Baseline] [Epoch 071/100] Loss: 0.12489 | Time/Epoch: 11.2s | ETA: 5 mins
[FP16_Baseline] [Epoch 072/100] Loss: 0.12701 | Time/Epoch: 11.7s | ETA: 5 mins
[FP16_Baseline] [Epoch 073/100] Loss: 0.13052 | Time/Epoch: 12.5s | ETA: 5 mins
[FP16_Baseline] [Epoch 074/100] Loss: 0.12195 | Time/Epoch: 12.2s | ETA: 5 mins
[FP16_Baseline] [Epoch 075/100] Loss: 0.12131 | Time/Epoch: 12.3s | ETA: 4 mins
[FP16_Baseline] [Epoch 076/100] Loss: 0.12068 | Time/Epoch: 12.2s | ETA: 4 mins
[FP16_Baseline] [Epoch 077/100] Loss: 0.12090 | Time/Epoch: 12.1s | ETA: 4 mins
[FP16_Baseline] [Epoch 078/100] Loss: 0.12458 | Time/Epoch: 12.2s | ETA: 4 mins
[FP16_Baseline] [Epoch 079/100] Loss: 0.11787 | Time/Epoch: 12.2s | ETA: 4 mins
[FP16_Baseline] [Epoch 080/100] Loss: 0.11827 | Time/Epoch: 12.3s | ETA: 4 mins
[FP16_Baseline] [Epoch 081/100] Loss: 0.11798 | Time/Epoch: 12.4s | ETA: 3 mins
[FP16_Baseline] [Epoch 082/100] Loss: 0.11867 | Time/Epoch: 12.2s | ETA: 3 mins
[FP16_Baseline] [Epoch 083/100] Loss: 0.11480 | Time/Epoch: 12.3s | ETA: 3 mins
